Season_Code,League,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,Home_Elo,Away_Elo,Elo_Diff,Home_Roll5_GF,Away_Roll5_GF,Home_Roll5_GA,Away_Roll5_GA,Home_Roll5_Shots,Away_Roll5_Shots,Home_Roll5_SoT,Away_Roll5_SoT,Home_Rest_Days,Away_Rest_Days
2122,Championship,2021-08-14,West Brom,Luton,3,2,H,2,0,H,18,11,6,5,8,4,15,9,2,2,0,0,1.7,3.6,5.5,2.0,1.93,1450.0,1466.0,-16.0,2.0,3.0,2.0,0.0,15.0,12.0,5.0,6.0,8.0,7.0
2122,Championship,2021-08-14,Swansea,Sheffield United,0,0,D,0,0,D,8,8,1,2,1,6,8,14,1,2,0,0,3.0,3.2,2.45,2.3,1.61,1434.0,1434.0,0.0,1.0,0.0,2.0,1.0,7.0,16.0,4.0,2.0,7.0,7.0
2122,League One,2021-08-14,Accrington,Cambridge,2,1,H,2,0,H,14,16,6,4,3,11,15,12,3,0,0,0,2.0,3.5,3.8,2.0,1.8,1284.0,1300.0,-16.0,1.0,1.0,2.0,1.0,8.0,9.0,3.0,1.0,7.0,7.0
2122,League One,2021-08-17,Lincoln,Bolton,0,1,A,0,0,D,15,10,6,2,2,4,9,10,1,0,0,0,2.2,3.4,3.3,1.9,1.9,1315.263693206478,1300.736306793522,14.52738641295582,1.5,3.0,1.0,3.0,9.5,12.5,3.5,4.0,3.0,3.0
2122,League One,2021-08-17,Milton Keynes Dons,Charlton,2,1,H,1,1,D,12,7,3,3,4,3,10,17,2,2,0,0,2.55,3.5,2.7,1.9,1.9,1284.736306793522,1284.0,0.7363067935220897,2.0,0.5,2.5,1.0,13.5,10.5,6.0,1.5,3.0,3.0
2122,League One,2021-08-17,Morecambe,Rotherham,0,1,A,0,0,D,8,15,0,8,7,10,9,16,2,2,0,0,4.0,3.4,2.0,1.85,1.95,1315.263693206478,1298.5304984710244,16.73319473545348,2.0,1.0,1.0,0.5,8.0,14.5,4.0,4.0,3.0,3.0
2122,League One,2021-08-17,Sheffield Weds,Fleetwood Town,1,0,H,1,0,H,12,11,5,5,5,2,14,16,4,5,0,0,1.95,3.25,4.2,2.4,1.53,1315.263693206478,1268.736306793522,46.52738641295582,1.0,0.5,0.0,1.5,8.5,12.0,2.5,5.5,3.0,3.0
2122,League One,2021-08-17,Plymouth,Cambridge,1,1,D,0,0,D,11,7,4,3,7,3,10,12,2,5,0,0,1.95,3.75,3.6,1.95,1.85,1300.736306793522,1283.263693206478,17.47261358704418,0.5,1.0,1.0,1.5,12.0,12.5,2.5,2.5,3.0,3.0
2122,League One,2021-08-17,Portsmouth,Shrewsbury,1,0,H,1,0,H,9,10,2,4,5,4,12,13,1,1,0,0,1.66,3.8,5.25,2.15,1.66,1331.263693206478,1268.736306793522,62.52738641295582,1.5,0.0,0.0,1.5,12.0,11.5,3.5,1.5,3.0,3.0
2122,League One,2021-08-17,Wigan,Wycombe,1,1,D,0,0,D,8,12,3,4,1,4,9,18,3,2,0,0,2.4,3.4,3.0,2.0,1.8,1301.4695015289756,1331.263693206478,-29.79419167750234,1.0,2.5,1.0,1.0,8.5,14.0,2.5,5.0,3.0,3.0
2122,League One,2021-08-17,Oxford,Crewe,1,0,H,1,0,H,13,7,1,1,9,3,11,12,2,3,0,0,1.7,3.75,5.0,1.85,1.95,1316.0,1284.736306793522,31.26369320647791,1.5,0.5,1.0,1.5,11.0,5.5,4.0,1.0,3.0,3.0
2122,League One,2021-08-17,Burton,Sunderland,1,0,H,0,0,D,12,20,1,7,5,9,10,6,2,2,0,0,3.5,3.3,2.15,2.1,1.7,1331.263693206478,1331.263693206478,0.0,1.5,2.0,0.5,1.0,12.5,11.5,3.5,4.0,3.0,3.0
2122,League One,2021-08-17,Cheltenham,Ipswich,2,1,H,0,1,A,9,12,4,3,2,5,9,8,3,1,0,0,2.87,3.1,2.62,2.35,1.57,1284.736306793522,1284.736306793522,0.0,1.0,1.5,2.0,2.0,12.5,12.0,6.0,3.0,3.0,3.0
2122,League One,2021-08-17,Accrington,Doncaster,1,0,H,1,0,H,14,3,5,1,7,5,10,8,3,0,0,0,2.05,3.6,3.5,1.95,1.85,1300.736306793522,1268.736306793522,32.0,1.5,0.5,1.5,2.0,11.0,10.5,4.5,2.0,3.0,3.0
2122,Championship,2021-08-17,Reading,Bristol City,2,3,A,1,2,A,11,8,3,5,5,2,11,12,0,1,0,0,2.2,3.25,3.4,2.2,1.66,1450.0,1434.0,16.0,2.0,1.0,2.0,1.5,11.5,10.5,3.5,2.0,3.0,3.0
2122,Championship,2021-08-17,Swansea,Stoke,1,3,A,0,1,A,9,12,3,5,5,5,6,14,0,2,0,0,3.1,3.1,2.45,2.37,1.57,1434.0,1466.0,-32.0,0.5,1.5,1.0,1.0,7.5,13.0,2.5,4.0,3.0,3.0
2122,Championship,2021-08-17,Peterboro,Cardiff,2,2,D,0,0,D,8,9,3,3,0,6,9,18,1,2,0,0,3.2,3.2,2.4,2.3,1.61,1450.736306793522,1466.0,-15.26369320647791,1.0,1.5,2.0,0.5,8.5,13.5,2.5,7.0,3.0,3.0
2122,Championship,2021-08-17,Millwall,Fulham,1,2,A,0,2,A,7,16,2,6,2,5,11,11,4,2,0,0,3.8,3.1,2.15,2.3,1.61,1450.736306793522,1466.0,-15.26369320647791,1.0,3.0,1.0,1.0,12.5,15.5,2.5,7.0,3.0,3.0
2122,Championship,2021-08-17,Huddersfield,Preston,1,0,H,0,0,D,7,8,0,2,4,4,12,7,3,2,0,0,2.45,3.2,3.0,2.3,1.61,1434.0,1418.0,16.0,1.0,1.0,3.0,3.0,13.0,10.0,4.0,4.5,3.0,3.0
2122,Championship,2021-08-17,Blackpool,Coventry,0,1,A,0,1,A,12,19,4,5,6,11,7,11,2,4,0,0,3.0,3.2,2.45,2.37,1.57,1434.0,1449.263693206478,-15.26369320647791,0.5,1.0,1.5,1.0,7.5,12.0,1.5,4.0,3.0,3.0
2122,Championship,2021-08-17,Barnsley,Luton,0,1,A,0,1,A,10,7,3,4,4,4,13,13,1,4,0,0,2.3,3.2,3.3,2.3,1.61,1466.736306793522,1449.263693206478,17.47261358704418,1.0,2.5,0.5,1.5,9.0,11.5,2.0,5.5,3.0,3.0
2122,League One,2021-08-17,AFC Wimbledon,Gillingham,1,1,D,0,0,D,16,5,7,3,3,3,17,15,4,4,0,1,1.95,3.3,4.2,1.95,1.85,1315.263693206478,1283.263693206478,32.0,2.5,0.5,2.0,1.0,11.0,11.0,3.5,3.5,3.0,3.0
2122,Championship,2021-08-18,Birmingham,Bournemouth,0,2,A,0,0,D,9,9,3,4,5,3,17,8,1,0,0,0,3.1,3.25,2.4,2.1,1.72,1466.0,1465.263693206478,0.7363067935220897,0.5,2.0,0.0,1.5,9.0,7.5,2.0,3.5,4.0,4.0
2122,Championship,2021-08-18,Hull,Derby,0,1,A,0,0,D,9,13,2,5,5,3,7,11,1,3,0,0,1.8,3.75,4.5,2.1,1.72,1449.263693206478,1433.263693206478,16.0,2.0,1.0,2.0,1.5,14.0,9.0,4.5,2.5,4.0,4.0
2122,Championship,2021-08-18,Middlesbrough,QPR,2,3,A,1,0,H,14,8,6,6,7,1,14,17,2,1,0,1,2.4,3.25,3.0,2.1,1.72,1466.0,1466.736306793522,-0.7363067935220897,1.5,2.0,1.0,0.5,10.0,12.5,4.0,6.0,4.0,4.0
2122,Championship,2021-08-18,Nott'm Forest,Blackburn,1,2,A,0,0,D,7,9,4,7,3,1,13,15,1,3,1,0,2.37,3.3,3.1,2.1,1.72,1418.736306793522,1465.263693206478,-46.52738641295582,1.0,1.5,2.0,1.0,12.5,11.5,3.5,5.5,4.0,4.0
2122,Championship,2021-08-18,West Brom,Sheffield United,4,0,H,1,0,H,12,5,4,1,5,4,11,3,0,1,0,0,2.1,3.4,3.5,2.1,1.72,1466.736306793522,1434.0,32.73630679352209,2.5,0.0,2.0,0.5,16.5,12.0,5.5,2.0,4.0,4.0
2122,Championship,2021-08-20,Bristol City,Swansea,0,1,A,0,1,A,15,8,5,4,1,2,14,14,4,6,0,0,2.15,3.25,3.6,2.2,1.66,1450.736306793522,1419.4695015289756,31.26680526454652,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,9.666666666666666,8.0,3.0,2.6666666666666665,3.0,3.0
2122,Premier League,2021-08-21,Brighton,Watford,2,0,H,2,0,H,13,10,3,1,7,2,11,6,4,0,0,0,1.7,3.5,5.75,2.2,1.66,1616.0,1616.0,0.0,2.0,3.0,1.0,2.0,14.0,13.0,8.0,7.0,7.0,7.0
2122,Premier League,2021-08-21,Man City,Norwich,5,0,H,2,0,H,16,1,4,0,6,1,13,7,1,0,0,0,1.08,11.0,26.0,1.33,3.4,1584.0,1584.0,0.0,0.0,0.0,1.0,3.0,18.0,14.0,4.0,3.0,6.0,7.0
2122,Premier League,2021-08-21,Leeds,Everton,2,2,D,1,1,D,17,17,4,8,8,5,6,13,2,4,0,0,2.37,3.4,3.0,1.72,2.1,1584.0,1616.0,-32.0,1.0,3.0,5.0,1.0,10.0,14.0,3.0,6.0,7.0,7.0
2122,Premier League,2021-08-21,Crystal Palace,Brentford,0,0,D,0,0,D,7,14,2,3,3,5,12,9,3,1,0,0,2.55,3.2,2.87,2.3,1.61,1584.0,1616.0,-32.0,0.0,2.0,3.0,0.0,4.0,8.0,1.0,3.0,7.0,8.0
2122,Premier League,2021-08-21,Liverpool,Burnley,2,0,H,1,0,H,27,9,9,3,8,4,6,12,0,0,0,0,1.18,7.5,13.0,1.53,2.5,1616.0,1584.0,32.0,3.0,1.0,0.0,2.0,19.0,14.0,8.0,3.0,7.0,7.0
2122,League One,2021-08-21,Wycombe,Lincoln,1,0,H,1,0,H,15,8,1,4,7,1,21,11,3,1,0,0,2.45,3.3,2.9,1.95,1.85,1329.8949734492508,1298.5950719527063,31.299901496544408,2.0,1.0,1.0,1.0,13.333333333333334,11.333333333333334,4.666666666666667,4.333333333333333,4.0,4.0
2122,League One,2021-08-21,Sunderland,AFC Wimbledon,1,0,H,0,0,D,12,5,6,2,8,3,13,11,3,1,0,0,1.66,3.8,5.25,1.85,1.95,1315.263693206478,1313.7941916775023,1.4695015289755702,1.3333333333333333,2.0,1.0,1.6666666666666667,14.333333333333334,12.666666666666666,5.0,4.666666666666667,4.0,4.0
2122,League One,2021-08-21,Shrewsbury,Plymouth,0,3,A,0,1,A,17,5,1,4,11,1,19,8,2,1,0,0,2.3,3.4,3.1,2.1,1.7,1255.5851093302224,1299.9323408595199,-44.34723152929746,0.0,0.6666666666666666,1.3333333333333333,1.0,11.0,11.666666666666666,2.3333333333333335,3.0,4.0,4.0
2122,League One,2021-08-21,Ipswich,Milton Keynes Dons,2,2,D,1,0,H,11,19,4,8,8,8,13,8,2,1,0,0,2.3,3.3,3.2,1.95,1.98,1268.736306793522,1300.7023986633528,-31.966091869830734,1.3333333333333333,2.0,2.0,2.0,12.0,13.0,3.0,5.0,4.0,4.0
2122,League One,2021-08-21,Gillingham,Morecambe,2,1,H,1,1,D,10,11,3,2,2,3,18,11,1,2,0,0,2.1,3.4,3.6,2.0,1.8,1284.7331947354535,1298.4936963754255,-13.760501639972063,0.6666666666666666,1.3333333333333333,1.0,1.0,9.0,8.0,3.3333333333333335,2.6666666666666665,4.0,4.0
2122,League One,2021-08-21,Fleetwood Town,Cheltenham,3,2,H,1,1,D,8,15,6,7,7,9,5,7,1,4,0,0,2.3,3.2,3.3,2.3,1.6,1254.866254736599,1300.736306793522,-45.87005205692299,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,11.666666666666666,11.333333333333334,5.333333333333333,5.333333333333333,4.0,4.0
2122,League One,2021-08-21,Doncaster,Portsmouth,0,0,D,0,0,D,9,12,3,6,6,5,16,14,2,2,0,0,3.6,3.25,2.2,2.07,1.72,1254.2058083224977,1344.4148906697776,-90.20908234727995,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,8.0,11.0,1.6666666666666667,3.0,4.0,4.0
2122,League One,2021-08-21,Crewe,Accrington,0,1,A,0,1,A,10,12,3,2,6,6,19,16,3,6,1,0,2.8,3.5,2.45,1.95,1.85,1270.1721796717984,1315.2668052645465,-45.094625592748116,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,6.0,12.0,1.0,4.666666666666667,4.0,4.0
2122,League One,2021-08-21,Charlton,Wigan,0,2,A,0,0,D,9,13,1,4,5,3,17,13,3,1,0,0,2.3,3.4,3.1,2.0,1.8,1268.0339081301693,1302.8382212862027,-34.80431315603346,0.6666666666666666,1.0,1.3333333333333333,1.0,9.333333333333334,8.333333333333334,2.0,2.6666666666666665,4.0,4.0
2122,Premier League,2021-08-21,Aston Villa,Newcastle,2,0,H,1,0,H,10,9,2,1,3,4,8,18,3,4,0,0,1.8,3.75,4.33,1.72,2.1,1584.0,1584.0,0.0,2.0,2.0,3.0,4.0,11.0,17.0,2.0,3.0,7.0,6.0
2122,League One,2021-08-21,Bolton,Oxford,2,1,H,1,1,D,14,13,4,7,7,6,7,17,0,3,0,0,2.62,3.5,2.6,1.85,1.95,1317.4049280472937,1330.5641271217237,-13.159199074430035,2.3333333333333335,1.3333333333333333,2.0,0.6666666666666666,11.666666666666666,11.666666666666666,3.3333333333333335,3.0,4.0,4.0
2122,League One,2021-08-21,Rotherham,Sheffield Weds,0,2,A,0,0,D,14,7,2,5,8,0,17,12,1,4,0,0,2.15,3.25,3.6,2.3,1.6,1315.3004953020768,1329.133745263401,-13.8332499613241,1.0,1.0,0.3333333333333333,0.0,14.666666666666666,9.666666666666666,5.333333333333333,3.3333333333333335,4.0,4.0
2122,Championship,2021-08-21,Stoke,Nott'm Forest,1,0,H,0,0,D,11,2,5,0,6,2,8,6,2,2,0,0,1.83,3.5,4.5,2.3,1.61,1480.5304984710244,1404.866254736599,75.66424373442533,2.0,1.0,1.0,2.0,12.666666666666666,10.666666666666666,4.333333333333333,3.6666666666666665,4.0,3.0
2122,Championship,2021-08-21,Sheffield United,Huddersfield,1,2,A,0,0,D,16,6,6,3,6,4,7,9,0,3,0,0,1.57,3.8,5.75,2.1,1.72,1419.5031170912061,1449.263693206478,-29.76057611527176,0.0,1.0,1.6666666666666667,2.0,9.666666666666666,11.0,1.6666666666666667,2.6666666666666665,3.0,4.0
2122,Championship,2021-08-21,Preston,Peterboro,1,0,H,1,0,H,16,9,7,2,5,1,14,7,2,0,0,0,2.1,3.3,3.6,2.2,1.66,1402.736306793522,1451.4387739660467,-48.70246717252462,0.6666666666666666,1.3333333333333333,2.3333333333333335,2.0,9.333333333333334,8.333333333333334,3.6666666666666665,2.6666666666666665,4.0,4.0
2122,Championship,2021-08-21,Luton,Birmingham,0,5,A,0,2,A,11,20,3,9,5,5,10,7,1,1,0,0,2.0,3.25,3.8,2.2,1.66,1466.0676591404801,1449.9660918698307,16.10156727064941,2.0,0.3333333333333333,1.0,0.6666666666666666,10.0,9.0,5.0,2.3333333333333335,4.0,3.0
2122,Championship,2021-08-21,Fulham,Hull,2,0,H,2,0,H,15,8,6,3,9,1,14,5,3,2,0,0,1.36,4.75,9.5,1.85,2.0,1481.2975328274754,1432.5273864129558,48.77014641451956,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,15.666666666666666,12.333333333333334,6.666666666666667,3.6666666666666665,4.0,3.0
2122,Championship,2021-08-21,Derby,Middlesbrough,0,0,D,0,0,D,9,11,4,3,7,3,15,7,2,4,0,0,3.1,3.1,2.45,2.3,1.61,1450.0,1450.0339081301693,-0.03390813016926586,1.0,1.6666666666666667,1.0,1.6666666666666667,10.333333333333334,11.333333333333334,3.3333333333333335,4.666666666666667,3.0,3.0
2122,Championship,2021-08-21,Coventry,Reading,2,1,H,0,1,A,25,7,7,2,10,2,14,8,5,3,0,0,2.05,3.4,3.6,2.2,1.66,1464.5612260339533,1433.263693206478,31.29753282747538,1.0,2.0,0.6666666666666666,2.3333333333333335,14.333333333333334,11.333333333333334,4.333333333333333,3.3333333333333335,4.0,4.0
2122,League One,2021-08-21,Cambridge,Burton,3,0,H,0,0,D,7,19,2,9,8,4,10,13,1,2,0,0,3.1,3.25,2.37,1.95,1.85,1284.0676591404801,1347.263693206478,-63.196034065997765,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,10.666666666666666,12.333333333333334,2.6666666666666665,2.6666666666666665,4.0,4.0
2122,Championship,2021-08-21,Cardiff,Millwall,3,1,H,0,0,D,16,12,5,5,2,3,15,14,2,1,0,0,2.2,3.2,3.5,2.5,1.53,1465.2975328274754,1435.4387739660467,29.85875886142867,1.6666666666666667,1.0,1.0,1.3333333333333333,12.0,10.666666666666666,5.666666666666667,2.3333333333333335,4.0,4.0
2122,Championship,2021-08-21,Bournemouth,Blackpool,2,2,D,2,0,H,13,11,5,5,6,5,20,12,0,4,0,0,1.65,3.8,5.5,2.0,1.8,1481.2976013366472,1418.7024671725246,62.595134164122555,2.0,0.3333333333333333,1.0,1.3333333333333333,8.0,9.0,3.6666666666666665,2.3333333333333335,3.0,4.0
2122,Championship,2021-08-21,Blackburn,West Brom,1,2,A,0,2,A,7,23,2,11,5,6,11,12,1,2,0,0,4.0,3.3,1.9,2.1,1.72,1479.133745263401,1481.233189702316,-2.099444438915043,1.6666666666666667,3.0,1.0,1.3333333333333333,10.666666666666666,15.0,6.0,5.0,3.0,3.0
2122,Championship,2021-08-21,QPR,Barnsley,2,2,D,0,2,A,13,12,6,4,6,9,3,15,2,3,0,0,2.05,3.3,3.8,2.0,1.8,1482.7023986633528,1449.9323408595199,32.77005780383297,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,11.0,9.333333333333334,6.0,2.3333333333333335,3.0,4.0
2122,Premier League,2021-08-22,Wolves,Tottenham,0,1,A,0,1,A,25,8,6,6,5,4,9,7,1,4,0,0,3.2,3.2,2.35,2.2,1.66,1584.0,1616.0,-32.0,0.0,1.0,1.0,0.0,17.0,13.0,3.0,3.0,8.0,7.0
2122,Premier League,2021-08-22,Arsenal,Chelsea,0,2,A,0,2,A,6,22,3,5,9,8,10,4,3,0,0,0,4.75,3.75,1.72,2.1,1.72,1584.0,1616.0,-32.0,0.0,3.0,2.0,0.0,22.0,13.0,4.0,6.0,9.0,8.0
2122,Premier League,2021-08-22,Southampton,Man United,1,1,D,1,0,H,8,15,3,4,7,7,12,10,2,3,0,0,5.5,4.2,1.57,1.72,2.1,1584.0,1616.0,-32.0,1.0,5.0,3.0,1.0,6.0,16.0,3.0,8.0,8.0,8.0
2122,Premier League,2021-08-23,West Ham,Leicester,4,1,H,1,0,H,13,5,7,1,10,0,8,8,0,1,0,1,2.5,3.5,2.75,1.8,2.0,1616.0,1616.0,0.0,4.0,1.0,2.0,0.0,8.0,9.0,9.0,5.0,8.0,9.0
2122,League One,2021-08-27,Burton,Cheltenham,1,1,D,0,1,A,14,7,3,2,5,4,12,10,2,1,0,0,2.4,3.3,3.0,2.15,1.66,1328.3850847326864,1282.636101220726,45.74898351196043,1.0,1.5,1.0,2.0,14.0,12.25,4.25,5.75,6.0,6.0
2122,League One,2021-08-28,Morecambe,Sheffield Weds,1,0,H,0,0,D,6,13,1,2,5,7,11,6,2,1,0,0,4.5,3.4,1.9,2.05,1.75,1281.8603329923242,1344.4970369737687,-62.6367039814445,1.25,1.25,1.25,0.0,8.75,9.0,2.5,3.75,7.0,7.0
2122,League One,2021-08-28,Oxford,Lincoln,3,1,H,2,0,H,12,12,8,4,2,8,8,10,0,1,0,0,2.05,3.4,3.6,2.0,1.8,1313.9584132202467,1284.032598839823,29.925814380423617,1.25,0.75,1.0,1.0,12.0,10.5,4.0,4.25,7.0,7.0
2122,League One,2021-08-28,Plymouth,Fleetwood Town,1,1,D,1,1,D,13,8,4,3,3,3,14,13,0,2,0,0,2.5,3.25,3.0,2.0,1.8,1313.901094687275,1272.9664603093952,40.934634377879775,1.25,1.0,0.75,1.5,10.0,10.75,3.25,5.5,7.0,7.0
2122,League One,2021-08-28,Shrewsbury,Gillingham,2,1,H,0,1,A,11,10,5,3,6,7,9,10,0,1,1,1,2.45,3.2,3.1,2.35,1.57,1241.6163555024673,1301.3665581185548,-59.75020261608756,0.0,1.0,1.75,1.0,12.5,9.25,2.0,3.25,7.0,7.0
2122,League One,2021-08-28,Sunderland,Wycombe,3,1,H,2,0,H,10,16,4,3,1,5,11,9,1,1,0,0,1.95,3.4,4.0,2.0,1.8,1331.1960205637195,1344.457446562134,-13.261425998414552,1.25,1.75,0.75,0.75,13.75,13.75,5.25,3.75,7.0,7.0
