HomeTeam,Season_Code,League,Date,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,Home_Elo,Away_Elo,Elo_Diff,Home_Roll5_GF,Away_Roll5_GF,Home_Roll5_GA,Away_Roll5_GA,Home_Roll5_Shots,Away_Roll5_Shots,Home_Roll5_SoT,Away_Roll5_SoT,Home_Rest_Days,Away_Rest_Days
Man United,2526,Premier League,2026-05-17,Nott'm Forest,3,2,H,1,0,H,29,11,8,4,7,6,11,5,2,1,0,0,1.6,4.2,5.25,1.62,2.3,1757.9708321328658,1664.5505145768311,93.42031755603443,1.4,2.8,1.0,0.8,12.8,11.6,4.6,4.8,8.0,7.0
Mansfield,2526,League One,2026-05-02,Cardiff,5,4,H,3,0,H,12,20,10,7,6,8,14,7,2,1,0,0,3.6,3.9,1.81,1.53,2.4,1332.2022788226875,1442.3593269716991,-110.15704814901142,1.4,2.4,0.6,0.6,11.2,17.8,3.2,6.4,4.0,7.0
Middlesbrough,2526,Championship,2026-04-25,Watford,5,1,H,2,0,H,20,12,9,3,6,3,8,10,1,2,0,0,1.39,4.75,6.5,1.57,2.38,1480.4679420748282,1379.9172011051448,100.55074096968336,1.2,0.4,1.4,2.0,22.8,14.4,6.4,4.4,3.0,4.0
Millwall,2526,Championship,2026-05-02,Oxford,2,0,H,1,0,H,22,4,8,1,14,1,8,6,1,0,0,0,1.3,5.25,7.5,1.62,2.3,1543.407242013422,1390.2011614578462,153.20608055557568,1.4,1.6,0.8,1.0,13.6,14.8,3.8,4.6,8.0,7.0
Milton Keynes Dons,2223,League One,2023-04-29,Barnsley,4,4,D,0,1,A,17,17,8,9,7,3,9,7,2,2,0,0,2.75,3.3,2.63,2.02,1.82,1258.2843166086288,1434.346884108929,-176.06256750030047,0.8,1.8,1.2,1.0,12.0,13.0,3.0,5.0,7.0,4.0
Morecambe,2223,League One,2023-04-29,Lincoln,3,2,H,0,1,A,11,12,5,5,3,6,13,13,3,3,0,0,2.3,3.5,3.0,2.08,1.73,1235.8527936161122,1329.704685914416,-93.85189229830394,1.0,1.4,2.0,0.6,9.4,12.6,2.8,3.0,7.0,4.0
Newcastle,2526,Premier League,2026-05-17,West Ham,3,1,H,2,0,H,15,15,7,8,9,1,8,11,1,3,0,0,2.1,3.8,3.2,1.5,2.63,1652.381546470437,1607.1199617427037,45.26158472773295,1.2,1.2,1.4,1.0,12.2,11.8,4.2,4.2,7.0,7.0
Northampton,2526,League One,2026-05-02,Plymouth,2,3,A,2,2,D,7,26,4,10,2,8,17,14,2,4,1,0,5.75,5.5,1.37,1.53,2.4,1103.1107506923984,1397.3106694490084,-294.19991875661003,0.8,2.2,2.8,1.0,10.0,16.8,3.0,7.0,4.0,7.0
Norwich,2526,Championship,2026-04-25,Swansea,1,1,D,0,0,D,16,8,8,2,5,2,13,9,3,5,0,0,1.62,4.0,4.75,1.67,2.2,1511.801519425533,1460.03775878583,51.763760639702696,1.8,1.8,1.4,1.6,13.2,11.0,5.0,4.8,4.0,4.0
Nott'm Forest,2526,Premier League,2026-05-24,Bournemouth,1,1,D,1,0,H,15,17,5,4,6,3,11,7,1,1,0,0,3.3,3.75,2.05,1.57,2.38,1652.7519112093955,1749.1551305534367,-96.4032193440412,3.0,1.8,1.2,0.8,10.8,13.0,4.8,4.4,7.0,5.0
Oxford,2526,Championship,2026-04-25,Sheffield Weds,4,1,H,2,0,H,20,9,10,3,5,3,14,13,1,0,0,0,1.41,4.75,6.25,1.91,1.91,1381.37616268527,1213.6541178204238,167.7220448648461,1.0,0.4,1.0,1.0,14.0,9.4,3.4,1.2,4.0,3.0
Peterboro,2526,League One,2026-05-02,Doncaster,1,3,A,0,0,D,16,21,6,13,6,3,10,10,1,3,0,0,2.57,3.6,2.35,1.57,2.35,1236.2111143766206,1283.819112546263,-47.60799816964254,0.8,1.0,2.0,1.4,12.6,12.4,3.8,5.0,4.0,7.0
Plymouth,2526,League One,2026-04-25,Port Vale,2,1,H,1,1,D,16,15,4,5,6,11,11,10,2,2,1,0,1.3,5.0,8.0,1.67,2.15,1388.9402503395636,1208.6567243478787,180.28352599168488,2.0,0.8,1.2,0.4,16.4,9.2,7.0,2.4,4.0,3.0
Port Vale,2526,League One,2026-05-02,Lincoln,0,2,A,0,1,A,13,11,1,3,2,6,7,9,0,2,0,0,4.1,4.2,1.66,1.93,1.93,1223.9832425872833,1530.1679155846823,-306.18467299739905,1.2,2.4,1.0,1.4,11.2,13.0,3.8,4.8,4.0,7.0
Portsmouth,2526,Championship,2026-05-02,Birmingham,1,1,D,1,1,D,14,13,2,5,3,9,19,10,2,2,0,0,2.35,3.5,2.7,1.8,2.0,1430.474830689493,1468.0091597490868,-37.5343290595938,1.6,1.6,1.2,1.0,7.4,12.8,2.6,5.6,7.0,7.0
Preston,2526,Championship,2026-05-02,Southampton,1,3,A,0,1,A,16,18,5,5,10,5,11,6,3,1,0,0,3.1,4.0,2.01,1.57,2.38,1403.334182935797,1566.4263065258417,-163.09212359004482,1.4,2.2,1.6,1.2,11.8,15.0,4.0,5.2,7.0,4.0
QPR,2526,Championship,2026-04-25,Derby,2,3,A,1,1,D,23,12,12,3,10,6,12,8,1,3,0,0,2.85,3.5,2.2,1.8,2.0,1404.021469144957,1466.3506874873,-62.32921834234276,0.8,1.4,1.2,1.4,12.0,12.6,4.2,4.0,4.0,4.0
Reading,2526,League One,2026-05-02,Blackpool,0,1,A,0,0,D,13,11,0,5,3,8,9,10,0,1,0,0,2.2,3.4,3.0,1.85,2.0,1319.4582133087215,1325.835933198175,-6.377719889453601,0.8,1.2,1.6,0.4,8.8,11.4,2.8,4.2,7.0,7.0
Rotherham,2526,League One,2026-04-25,Reading,1,1,D,1,0,H,15,6,3,3,3,2,17,15,3,2,0,0,2.82,3.4,2.25,2.05,1.75,1183.2573018193862,1325.6724692518465,-142.4151674324603,0.6,1.2,1.8,1.4,10.2,10.2,3.0,3.2,4.0,7.0
Sheffield United,2526,Championship,2026-04-25,Preston,2,3,A,0,2,A,17,12,3,6,10,5,12,11,0,3,0,0,1.57,4.5,4.33,1.67,2.2,1438.2334034114062,1384.897068811966,53.33633459944031,1.6,1.2,1.6,1.6,14.6,11.0,5.4,3.4,3.0,3.0
Sheffield Weds,2526,Championship,2026-05-02,West Brom,2,1,H,2,0,H,11,13,5,5,5,2,12,8,3,2,0,0,5.75,4.75,1.46,1.62,2.3,1204.8291190478476,1439.0681746284451,-234.23905558059755,0.6,1.0,1.4,0.0,8.0,11.2,1.4,3.8,7.0,7.0
Shrewsbury,2425,League One,2025-05-03,Crawley Town,1,2,A,0,0,D,11,13,4,6,8,4,14,7,5,2,1,0,3.0,3.4,2.25,1.62,2.25,1160.6923638869084,1246.8720398654466,-86.17967597853817,1.0,1.6,2.0,1.4,9.0,10.6,3.2,4.0,7.0,7.0
Southampton,2526,Championship,2026-04-28,Ipswich,2,2,D,0,0,D,18,19,4,9,5,9,10,19,0,2,0,0,2.1,3.4,3.1,1.73,2.1,1567.1725963945785,1550.955350328571,16.21724606600742,2.8,1.2,1.0,1.0,14.6,12.6,6.2,4.0,7.0,3.0
Stevenage,2526,League One,2026-05-02,Wigan,1,0,H,0,0,D,14,12,5,6,3,3,14,16,1,1,0,0,1.51,4.0,5.75,2.25,1.62,1355.7249853183712,1290.4987319116804,65.22625340669083,1.2,1.6,1.6,0.6,8.0,11.0,3.2,2.8,7.0,7.0
Stockport,2526,League One,2026-04-28,Port Vale,1,2,A,0,2,A,13,10,2,5,7,1,9,9,2,0,0,0,1.33,5.0,7.0,1.57,2.35,1382.4678674033487,1200.286305238434,182.1815621649148,2.0,0.8,1.4,0.8,17.8,10.8,7.0,3.0,3.0,3.0
Stoke,2526,Championship,2026-04-25,Portsmouth,1,3,A,0,1,A,13,8,3,4,8,1,9,13,0,2,0,0,2.7,3.2,2.55,2.03,1.83,1369.417793900412,1416.6360209114175,-47.218227011005865,0.8,1.4,1.6,1.4,9.4,7.6,2.6,2.4,4.0,4.0
Sunderland,2526,Premier League,2026-05-24,Chelsea,2,1,H,1,0,H,20,10,2,1,7,7,15,18,3,2,0,0,3.6,3.6,2.0,1.73,2.1,1621.740213136517,1667.9196281980533,-46.17941506153625,1.4,0.8,2.2,1.8,11.2,12.6,4.0,3.0,7.0,5.0
Swansea,2526,Championship,2026-05-02,Charlton,3,1,H,0,0,D,20,12,8,3,10,4,5,14,0,0,0,0,1.71,3.8,4.33,1.8,2.0,1462.4040851116235,1393.7102366014442,68.69384851017935,1.4,1.2,1.2,1.4,11.0,12.2,4.0,4.6,7.0,7.0
Tottenham,2526,Premier League,2026-05-24,Everton,1,0,H,1,0,H,21,8,6,3,6,2,15,12,5,3,0,1,1.91,3.75,3.8,1.73,2.1,1557.6628841183713,1652.2637172227523,-94.60083310438108,1.4,1.6,1.2,2.4,11.8,11.6,3.8,4.6,5.0,7.0
Watford,2526,Championship,2026-05-02,Coventry,0,4,A,0,2,A,13,18,4,7,0,6,16,10,2,1,0,0,3.3,4.0,1.91,1.57,2.38,1368.4226429929006,1583.6675410687726,-215.244898075872,0.4,1.8,2.6,0.6,15.4,13.6,4.4,3.6,7.0,6.0
West Brom,2526,Championship,2026-04-25,Ipswich,0,0,D,0,0,D,12,13,6,3,2,6,6,12,2,3,0,0,3.7,3.9,1.86,2.03,1.83,1433.6395808912605,1556.3839440657557,-122.74436317449522,1.4,1.6,0.4,1.2,10.6,12.2,3.4,4.4,4.0,3.0
West Ham,2526,Premier League,2026-05-24,Leeds,3,0,H,0,0,D,16,13,9,3,6,4,11,14,0,3,0,0,1.85,4.0,3.75,1.67,2.2,1593.1926228549123,1696.067057639489,-102.87443478457612,0.6,2.0,1.6,0.8,11.2,12.6,4.4,4.4,7.0,7.0
Wigan,2526,League One,2026-04-25,AFC Wimbledon,0,1,A,0,0,D,16,4,0,2,10,3,10,10,3,4,0,0,2.15,3.3,3.2,2.15,1.67,1311.9491394358108,1188.6691938041945,123.27994563161656,1.6,0.2,0.4,2.0,10.4,9.6,2.8,2.2,6.0,7.0
Wolves,2526,Premier League,2026-05-17,Fulham,1,1,D,1,1,D,11,13,3,5,3,6,20,8,1,0,0,0,3.8,3.8,1.9,1.73,2.1,1505.129840887948,1645.815027686186,-140.6851867982382,0.2,0.2,2.4,1.2,11.4,13.4,3.0,2.6,8.0,8.0
Wrexham,2526,Championship,2026-05-02,Middlesbrough,2,2,D,2,2,D,20,11,8,5,6,3,11,5,0,0,0,0,2.57,3.75,2.35,1.67,2.2,1490.2133326937085,1491.9625001870725,-1.7491674933639842,1.0,2.0,2.0,1.2,9.6,20.4,2.4,7.2,6.0,7.0
Wycombe,2526,League One,2026-05-02,Rotherham,3,2,H,2,2,D,20,6,9,3,15,1,14,13,1,2,0,0,1.46,4.33,5.75,1.65,2.2,1300.835814567938,1189.471557762511,111.36425680542698,1.4,0.8,2.6,1.8,14.6,11.2,4.8,2.6,7.0,7.0
